Plant ID,Plant,Group,Treatment,Temp,CO2,Day 0,Day 0,Day 0,Day 1,Day 1,Day 1,Day 2,Day 2 ,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Final_adaxial_AVG,Final_Abaxial_AVG,LCI_4,LCI_4,LCI_4,LCI_5,LCI_5,LCI_5,LCI_6,LCI_6,LCI_6,LCI_7,LCI_7,LCI_7,LCI_9,LCI_9,LCI_9,LCI_15,LCI_15,LCI_15,Final_LCI_Avg,Fresh_Mass,DryMass,Leaf_Disc
Mint0403,M.xpiperita,Mint04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.21,0.24,0.48,0.24,0.16,,,,0.59,0.54,0.96,,,,0.69,38.50,10.90,0.0091
Nast0101,T.majus,Nast01,eCO2,22,800,,,,,,,,,,,,,,,,42,55,72,49,45,65,,,,,,,36,53,54,47.67,47.67,,,,,,,,,,,,,,,,,,,,11.80,1.44,0.0051
Nast0102,T.majus,Nast01,eCO2,22,800,,,,,,,,,,,,,,,,34,15,49,47,45,32,,,,,,,6,46,34,28.67,28.67,,,,,,,,,,,,,,,,,,,,20.50,4.82,0.0064
Nast0103,T.majus,Nast01,eCO2,22,800,,,,,,,,,,,,,,,,52,25,44,51,44,45,,,,,,,12,45,24,27.00,27.00,,,,,,,,,,,,,,,,,,,,15.80,3.23,0.0058
Nast0201,T.majus,Nast02,Warming,28,400,,,,,,,,,,,,,,,,21,28,47,24,20,23,,,,,,,9,48,8,21.67,21.67,,,,,,,,,,,,,,,,,,,,20.40,2.19,0.003
Nast0202,T.majus,Nast02,Warming,28,400,,,,,,,,,,,,,,,,8,22,40,27,24,44,,,,,,,19,38,45,34.00,34.00,,,,,,,,,,,,,,,,,,,,9.70,0.93,0.004
Nast0203,T.majus,Nast02,Warming,28,400,,,,,,,,,,,,,,,,57,32,34,23,59,25,,,,,,,48,59,23,43.33,43.33,,,,,,,,,,,,,,,,,,,,24.10,3.06,0.0026
Nast0301,T.majus,Nast03,Control,22,400,,,,,,,,,,,,,,,,47,48,72,24,20,23,,,,,,,24,45,29,32.67,32.67,,,,,,,,,,,,,,,,,,,,34.80,7.42,0.0145
Nast0302,T.majus,Nast03,Control,22,400,,,,,,,,,,,,,,,,36,40,42,27,24,44,,,,,,,25,44,39,36.00,36.00,,,,,,,,,,,,,,,,,,,,29.30,1.94,0.0088
Nast0303,T.majus,Nast03,Control,22,400,,,,,,,,,,,,,,,,63,56,60,23,59,25,,,,,,,60,58,57,58.33,58.33,,,,,,,,,,,,,,,,,,,,29.60,4.76,0.0101
Nast0401,T.majus,Nast04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,56,56,62,54,72,50,,,,,,,99,68,71,79.33,79.33,,,,,,,,,,,,,,,,,,,,24.40,3.08,0.0083
Nast0402,T.majus,Nast04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,55,68,66,67,51,83,,,,,,,65,85,71,73.67,73.67,,,,,,,,,,,,,,,,,,,,21.40,2.74,0.0084
Nast0403,T.majus,Nast04,Warming+eCO2,28,800,,,,,,,,,,,,,,,,61,44,51,83,79,62,,,,,,,102,77,86,88.33,88.33,,,,,,,,,,,,,,,,,,,,24.90,3.56,0.0078
BP0101,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,47,34,31,,,,,,,59,49,29,,,,,,,45.67,44.33,,,,,,,,,,,,,,,,,,,,9.72,1.54,0.0053
BP0102,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,53,38,32,,,,,,,49,39,38,,,,,,,42.00,48.00,,,,,,,,,,,,,,,,,,,,4.85,0.75,0.0062
BP0103,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,55,39,32,,,,,,,36,42,39,,,,,,,39.00,51.00,,,,,,,,,,,,,,,,,,,,4.57,0.81,0.0068
BP0104,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,55,34,31,,,,,,,68,46,42,,,,,,,52.00,38.00,,,,,,,,,,,,,,,,,,,,7.00,1.01,0.0049
BP0105,C.annuum,BP01,Control,28,400,,,,,,,,,,,,,43,33,32,,,,,,,51,51,43,,,,,,,48.33,41.67,,,,,,,,,,,,,,,,,,,,5.07,0.78,0.0064
BP0201,C.annuum,BP02,Warming+eCO2,36,800,,,,,,,,,,,,,,,,,,,,,,59,49,49,,,,,,,52.33,37.67,,,,,,,,,,,,,,,,,,,,2.18,0.55,0.0126
BP0202,C.annuum,BP02,Warming+eCO2,36,800,,,,,,,,,,,,,,,,,,,,,,69,69,32,,,,,,,56.67,33.33,,,,,,,,,,,,,,,,,,,,1.22,0.30,0.0104
BP0203,C.annuum,BP02,Warming+eCO2,36,800,,,,,,,,,,,,,,,,,,,,,,56,39,31,,,,,,,42.00,48.00,,,,,,,,,,,,,,,,,,,,1.63,0.35,0.0083
BP0204,C.annuum,BP02,Warming+eCO2,36,800,,,,,,,,,,,,,,,,,,,,,,54,49,26,,,,,,,43.00,47.00,,,,,,,,,,,,,,,,,,,,2.51,0.55,0.0091
BP0205,C.annuum,BP02,Warming+eCO2,36,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP0301,C.annuum,BP03,eCO2,28,800,,,,,,,,,,,,,34,28,26,,,,,,,49,42,28,,,,,,,39.67,50.33,,,,,,,,,,,,,,,,,,,,15.28,0.98,0.0123
BP0302,C.annuum,BP03,eCO2,28,800,,,,,,,,,,,,,33,28,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP0303,C.annuum,BP03,eCO2,28,800,,,,,,,,,,,,,41,28,26,,,,,,,40,34,26,,,,,,,33.33,56.67,,,,,,,,,,,,,,,,,,,,11.09,1.01,0.0115
BP0304,C.annuum,BP03,eCO2,28,800,,,,,,,,,,,,,46,29,27,,,,,,,38,32,26,,,,,,,32.00,58.00,,,,,,,,,,,,,,,,,,,,2.35,0.52,0.0119
BP0305,C.annuum,BP03,eCO2,28,800,,,,,,,,,,,,,35,25,24,,,,,,,35,30,25,,,,,,,30.00,60.00,,,,,,,,,,,,,,,,,,,,4.27,0.84,0.0121
BP0401,C.annuum,BP04,Warming,36,400,,,,,,,,,,,,,41,35,26,,,,,,,47,37,25,,,,,,,36.33,53.67,,,,,,,,,,,,,,,,,,,,2.07,0.40,0.007
BP0402,C.annuum,BP04,Warming,36,400,,,,,,,,,,,,,46,33,28,,,,,,,39,30,21,,,,,,,30.00,60.00,,,,,,,,,,,,,,,,,,,,1.72,0.34,0.0083
BP0403,C.annuum,BP04,Warming,36,400,,,,,,,,,,,,,58,43,30,,,,,,,35,31,25,,,,,,,30.33,59.67,,,,,,,,,,,,,,,,,,,,1.95,0.36,0.0065
BP0404,C.annuum,BP04,Warming,36,400,,,,,,,,,,,,,51,34,34,,,,,,,42,39,33,,,,,,,38.00,52.00,,,,,,,,,,,,,,,,,,,,3.79,0.76,0.0073
BP0405,C.annuum,BP04,Warming,36,400,,,,,,,,,,,,,53,33,31,,,,,,,38,36,31,,,,,,,35.00,55.00,,,,,,,,,,,,,,,,,,,,3.40,0.67,0.0068
ST0101,S.tuberosum,ST01,Control,24,400,46,43,37,54,47,40,,,,54,40,44,,,,44,46,447,,,,61,50,44,,,,62,45,47,51.33,38.67,,,,,,,,,,,,,,,,,,,,62.30,9.86,0.0059
ST0102,S.tuberosum,ST01,Control,24,400,55,42,34,44,35,42,,,,49,46,55,,,,55,51,53,,,,68,54,62,,,,71,61,46,59.33,30.67,,,,,,,,,,,,,,,,,,,,36.70,6.85,0.0077
ST0103,S.tuberosum,ST01,Control,24,400,51,64,59,46,57,55,,,,58,65,67,,,,67,73,54,,,,66,62,58,,,,58,56,65,59.67,30.33,,,,,,,,,,,,,,,,,,,,40.30,3.86,0.0053
ST0104,S.tuberosum,ST01,Control,24,400,48,51,41,43,51,49,,,,55,48,45,,,,45,57,52,,,,47,56,57,,,,52,64,61,59.00,31.00,,,,,,,,,,,,,,,,,,,,47.50,5.01,0.0045
ST0105,S.tuberosum,ST01,Control,24,400,48,42,46,55,47,37,,,,44,37,67,,,,67,50,42,,,,66,55,43,,,,68,69,50,62.33,27.67,,,,,,,,,,,,,,,,,,,,59.80,9.28,0.0063
ST0106,S.tuberosum,ST01,Control,24,400,65,43,40,59,50,49,,,,59,49,61,,,,61,55,70,,,,55,65,59,,,,52,54,57,54.33,35.67,,,,,,,,,,,,,,,,,,,,29.40,3.22,0.0051
ST0201,S.tuberosum,ST02,eCO2,24,800,50,56,49,49,50,49,,,,60,52,59,,,,59,54,46,,,,56,57,42,,,,47,42,54,47.67,42.33,,,,,,,,,,,,,,,,,,,,38.00,4.48,0.0075
ST0202,S.tuberosum,ST02,eCO2,24,800,55,48,49,44,44,49,,,,52,58,52,,,,52,51,51,,,,46,62,52,,,,67,53,45,55.00,35.00,,,,,,,,,,,,,,,,,,,,42.10,4.92,0.0053
ST0203,S.tuberosum,ST02,eCO2,24,800,46,54,46,44,45,26,,,,51,40,62,,,,62,51,49,,,,62,57,48,,,,58,53,50,53.67,36.33,,,,,,,,,,,,,,,,,,,,39.90,6.08,0.0055
ST0204,S.tuberosum,ST02,eCO2,24,800,49,39,40,56,52,39,,,,55,58,62,,,,62,57,42,,,,56,47,53,,,,55,46,52,51.00,39.00,,,,,,,,,,,,,,,,,,,,38.40,4.75,0.0071
ST0205,S.tuberosum,ST02,eCO2,24,800,48,52,45,45,40,49,,,,52,49,61,,,,61,43,49,,,,66,52,53,,,,53,62,48,54.33,35.67,,,,,,,,,,,,,,,,,,,,42.00,5.29,0.0075
ST0206,S.tuberosum,ST02,eCO2,24,800,47,45,38,55,55,43,,,,51,45,56,,,,56,50,54,,,,60,56,52,,,,62,52,54,56.00,34.00,,,,,,,,,,,,,,,,,,,,38.90,5.37,0.0057
ST0301,S.tuberosum,ST03,Warming,32,400,46,38,45,57,41,37,,,,43,29,47,,,,47,48,39,,,,52,52,35,,,,53,57,38,49.33,40.67,,,,,,,,,,,,,,,,,,,,37.60,5.73,0.006
ST0302,S.tuberosum,ST03,Warming,32,400,41,36,40,52,45,43,,,,45,38,62,,,,62,44,38,,,,63,42,31,,,,67,49,32,49.33,40.67,,,,,,,,,,,,,,,,,,,,29.40,4.51,0.0044
ST0303,S.tuberosum,ST03,Warming,32,400,49,44,50,53,46,43,,,,41,39,52,,,,52,35,43,,,,39,42,37,,,,37,42,40,39.67,50.33,,,,,,,,,,,,,,,,,,,,30.20,4.72,0.0048
ST0304,S.tuberosum,ST03,Warming,32,400,55,39,2,58,40,39,,,,36,37,54,,,,54,35,32,,,,57,34,35,,,,63,36,40,46.33,43.67,,,,,,,,,,,,,,,,,,,,31.00,3.62,0.0048
ST0305,S.tuberosum,ST03,Warming,32,400,55,52,43,57,48,56,,,,56,45,55,,,,55,53,54,,,,54,54,52,,,,55,60,53,56.00,34.00,,,,,,,,,,,,,,,,,,,,41.80,5.70,0.0059
ST0306,S.tuberosum,ST03,Warming,32,400,45,50,44,52,54,48,,,,55,40,57,,,,57,62,40,,,,60,65,45,,,,64,50,40,51.33,38.67,,,,,,,,,,,,,,,,,,,,35.90,4.02,0.0046
ST0401,S.tuberosum,ST04,Warming+eCO2,32,800,37,43,36,45,45,38,,,,46,37,44,,,,44,47,38,,,,43,44,47,,,,38,42,38,39.33,50.67,,,,,,,,,,,,,,,,,,,,44.30,6.12,0.0064
ST0402,S.tuberosum,ST04,Warming+eCO2,32,800,53,51,52,51,54,43,,,,64,62,68,,,,68,64,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST0403,S.tuberosum,ST04,Warming+eCO2,32,800,41,38,41,41,35,44,,,,45,35,47,,,,47,38,42,,,,46,30,32,,,,35,41,32,36.00,54.00,,,,,,,,,,,,,,,,,,,,52.30,7.15,0.0059
ST0404,S.tuberosum,ST04,Warming+eCO2,32,800,999,999,999,999,999,999,,,,,,,,,,,,,,,,,,,,,,999,999,999,,,,,,,,,,,,,,,,,,,,,,,,
ST0405,S.tuberosum,ST04,Warming+eCO2,32,800,47,34,41,34,43,36,,,,44,31,39,,,,39,29,30,,,,38,42,36,,,,30,30,33,31.00,59.00,,,,,,,,,,,,,,,,,,,,32.90,5.05,0.0069
ST0406,S.tuberosum,ST04,Warming+eCO2,32,800,54,39,43,50,41,43,,,,43,47,39,,,,39,32,32,,,,42,40,16,,,,36,34,15,28.33,61.67,,,,,,,,,,,,,,,,,,,,39.20,6.69,0.0052
Y0101,A.millefolium,Y01,eCO2,29,800,,,,,,,,,,,,,65,58,55,,,,,,,72,71,69,,,,,,,70.67,19.33,,,,,,,,,,,,,,,,,,,,16.50,4.14,
Y0102,A.millefolium,Y01,eCO2,29,800,,,,,,,,,,,,,59,47,36,,,,,,,55,45,37,,,,,,,45.67,44.33,,,,,,,,,,,,,,,,,,,,12.24,2.98,
Y0103,A.millefolium,Y01,eCO2,29,800,,,,,,,,,,,,,61,45,35,,,,,,,56,45,38,,,,,,,46.33,43.67,,,,,,,,,,,,,,,,,,,,14.17,3.69,
Y0104,A.millefolium,Y01,eCO2,29,800,,,,,,,,,,,,,52,43,36,,,,,,,49,45,36,,,,,,,43.33,46.67,,,,,,,,,,,,,,,,,,,,10.21,2.26,
Y0105,A.millefolium,Y01,eCO2,29,800,,,,,,,,,,,,,60,49,39,,,,,,,67,49,39,,,,,,,51.67,38.33,,,,,,,,,,,,,,,,,,,,15.21,3.08,
Y0201,A.millefolium,Y02,Warming,36,400,,,,,,,,,,,,,52,39,29,,,,,,,49,37,26,,,,,,,37.33,52.67,,,,,,,,,,,,,,,,,,,,13.07,2.78,
Y0202,A.millefolium,Y02,Warming,36,400,,,,,,,,,,,,,63,60,62,,,,,,,65,63,59,,,,,,,62.33,27.67,,,,,,,,,,,,,,,,,,,,12.00,2.84,
Y0203,A.millefolium,Y02,Warming,36,400,,,,,,,,,,,,,62,56,35,,,,,,,68,57,25,,,,,,,50.00,40.00,,,,,,,,,,,,,,,,,,,,11.95,2.72,
Y0204,A.millefolium,Y02,Warming,36,400,,,,,,,,,,,,,63,58,42,,,,,,,60,57,32,,,,,,,49.67,40.33,,,,,,,,,,,,,,,,,,,,8.16,2.31,
Y0205,A.millefolium,Y02,Warming,36,400,,,,,,,,,,,,,65,49,36,,,,,,,66,39,31,,,,,,,45.33,44.67,,,,,,,,,,,,,,,,,,,,4.26,1.06,
Y0301,A.millefolium,Y03,Control,29,400,,,,,,,,,,,,,72,48,40,,,,,,,63,44,37,,,,,,,48.00,42.00,,,,,,,,,,,,,,,,,,,,8.35,1.87,
Y0302,A.millefolium,Y03,Control,29,400,,,,,,,,,,,,,65,45,36,,,,,,,64,42,37,,,,,,,47.67,42.33,,,,,,,,,,,,,,,,,,,,10.21,2.36,
Y0303,A.millefolium,Y03,Control,29,400,,,,,,,,,,,,,48,40,38,,,,,,,42,46,29,,,,,,,39.00,51.00,,,,,,,,,,,,,,,,,,,,6.19,1.58,
Y0304,A.millefolium,Y03,Control,29,400,,,,,,,,,,,,,42,34,33,,,,,,,42,31,29,,,,,,,34.00,56.00,,,,,,,,,,,,,,,,,,,,7.12,1.78,
Y0305,A.millefolium,Y03,Control,29,400,,,,,,,,,,,,,80,48,25,,,,,,,79,47,30,,,,,,,52.00,38.00,,,,,,,,,,,,,,,,,,,,7.11,1.77,
Y0401,A.millefolium,Y04,Warming+eCO2,36,800,,,,,,,,,,,,,78,61,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0402,A.millefolium,Y04,Warming+eCO2,36,800,,,,,,,,,,,,,73,59,30,,,,,,,68,56,31,,,,,,,51.67,38.33,,,,,,,,,,,,,,,,,,,,11.52,3.58,
Y0403,A.millefolium,Y04,Warming+eCO2,36,800,,,,,,,,,,,,,65,57,35,,,,,,,74,56,36,,,,,,,55.33,34.67,,,,,,,,,,,,,,,,,,,,9.52,2.72,
Y0404,A.millefolium,Y04,Warming+eCO2,36,800,,,,,,,,,,,,,69,49,30,,,,,,,82,60,35,,,,,,,59.00,31.00,,,,,,,,,,,,,,,,,,,,10.84,2.67,
Y0405,A.millefolium,Y04,Warming+eCO2,36,800,,,,,,,,,,,,,60,45,32,,,,,,,56,42,30,,,,,,,42.67,47.33,,,,,,,,,,,,,,,,,,,,2.82,0.70,
R0101,R.multiflora,R01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.50,0.56,0.75,0.83,0.86,0.81,14.75,5.09,
R0102,R.multiflora,R01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.71,0.63,0.75,0.50,0.22,0.49,9.96,3.28,
R0103,R.multiflora,R01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.40,1.14,1.17,0.50,0.71,0.79,13.42,4.66,
R0104,R.multiflora,R01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.60,0.25,0.45,,,0.45,4.49,2.39,
R0105,R.multiflora,R01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.30,0.25,0.83,0.63,0.44,0.63,12.21,4.33,
R0201,R.multiflora,R02,Warming,38,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.20,0.15,0.07,0.08,0.00,0.05,6.2,1.72,
R0202,R.multiflora,R02,Warming,38,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.00,0.02,0.06,0.20,0.00,0.09,5.71,1.78,
R0203,R.multiflora,R02,Warming,38,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.08,0.00,0.09,0.00,0.00,0.03,4.01,1.24,
R0204,R.multiflora,R02,Warming,38,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,3.37,1.02,
R0205,R.multiflora,R02,Warming,38,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.00,0.10,0.00,0.08,0.00,0.03,4.43,1.16,
R0301,R.multiflora,R03,Control,30,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.04,0.08,0.00,0.00,0.00,0.00,11.03,3.51,
R0302,R.multiflora,R03,Control,30,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.09,0.00,0.07,0.07,0.04,10.35,3.35,
R0303,R.multiflora,R03,Control,30,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.07,0.07,0.07,0.09,0.07,0.08,8.03,2.59,
R0304,R.multiflora,R03,Control,30,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.14,0.06,0.08,0.00,0.13,0.07,7.33,2.06,
R0305,R.multiflora,R03,Control,30,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.05,0.00,0.00,0.06,0.00,0.02,7.85,2.32,
R0401,R.multiflora,R04,eCO2,30,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.07,0.13,0.07,0.13,0.00,0.07,14.92,4.05,
R0402,R.multiflora,R04,eCO2,30,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.14,0.18,0.08,0.08,0.00,0.05,15.87,5.17,
R0403,R.multiflora,R04,eCO2,30,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.17,0.07,0.07,0.06,0.07,16.97,5.75,
R0404,R.multiflora,R04,eCO2,30,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.13,0.07,0.04,0.08,0.09,0.07,13.03,3.17,
R0405,R.multiflora,R04,eCO2,30,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.08,0.00,0.06,0.03,0.06,0.05,18.4,4.98,
